,Label,R^2 Mean (Train),R^2 STD (Train),R^2 Mean (CV),R^2 STD (CV),MAE Mean (Train),MAE STD (Train),MAE Mean (CV),MAE STD (CV),MSE Mean (Train),MSE STD (Train),MSE Mean (CV),MSE STD (CV),R^2 (Train),R^2 (Test),MAE (Train),MAE (Test),MSE (Train),MSE (Test)
15,NEOFFI_Agreeableness,0.43216082222955143,0.014958562212275935,-0.06290515152965719,0.07676039870825656,0.2403896465042552,0.007137351145611307,0.3592411158293076,0.016009523340668155,0.11567570250401228,0.009059915176481624,0.21408512624313847,0.017318203703954253,0.40295771321968654,-0.1343952126251291,0.24493839055547426,0.34761164152443796,0.12167748055282904,0.20022212236758982
2,FSoZu_EU,0.2639996525635873,0.09433731146123323,-0.1420910100908488,0.008019563891785897,0.2578130636450462,0.022792581837504523,0.38366859006683507,0.04693039220231109,0.23078522214167208,0.07207258751742172,0.34886863509032345,0.15408376288172357,0.21564035134475767,-0.29970477548823693,0.2695758437656173,0.4009729770227164,0.24006381626634457,0.2660421333336671
6,FSoZu_Vert,0.26030987954746,0.031757191337011006,0.0009007869117605427,0.051786474862384094,0.2685408633606044,0.020756332039081955,0.39199033559624613,0.04720125363342936,0.3323151403502435,0.03766643248229956,0.4500440773947032,0.09082116829754737,0.23626183848533666,0.03608659285121141,0.27505826819795187,0.34843364471737986,0.34267163813192836,0.3311273867424339
13,NEOFFI_Extraversion,0.43542722568634523,0.01328344714200535,-0.10652920528331185,0.024224911054537574,0.26546096515785017,0.005761099073201972,0.41078270014036694,0.018793188755503242,0.1451018776111357,0.0048829063306112365,0.28373431085194906,0.01719093168732096,0.3990219260186584,-0.09507872473249002,0.27433251096281,0.4839840276249123,0.15459838820399227,0.3884053603813597
3,FSoZu_PU,0.28206247909797516,0.03073552419996118,-0.16842034315236676,0.05899224266194049,0.282422059343312,0.00276828575910446,0.42933625505514766,0.009444959185189677,0.23321723328492105,0.015475200237602292,0.3774319193742463,0.01363290455343185,0.24787124034701769,-0.03186846046329306,0.2957209581478462,0.42849189378544306,0.24428484433548364,0.48438795579933686
14,NEOFFI_OpennessForExperiences,0.3827797904584664,0.006258475373025013,-0.16555311276114834,0.05296304070799984,0.28329402939797615,0.009540195162526788,0.4365029952515423,0.025671712740000588,0.14630386066634982,0.011962445509771753,0.273651534975812,0.0307024875632687,0.33823523460569827,-0.06597776071941674,0.2992619460615985,0.40832150729515837,0.1569621263468762,0.25053086060460406
12,NEOFFI_Neuroticism,0.38220589208524164,0.07139863469627553,-0.10497640312558539,0.10678502973448184,0.32556101475522675,0.02734257088729296,0.4990547932851432,0.03728221268961516,0.2088054525414557,0.024600674676061807,0.37445121535075976,0.05894776560700475,0.3450125950355304,0.009246115952019851,0.3388939765062183,0.4392280131788236,0.2216625882772864,0.32415362393961206
4,FSoZu_SI,0.3687371967260957,0.031622877431533275,-0.13540743695415994,0.055219171764225965,0.3250824735950622,0.005884905427523822,0.5016931759602273,0.011088266635327575,0.2347518402870917,0.01378220000907268,0.4204196905978202,0.018626026909865964,0.3234367820021733,-0.14180261497322322,0.340109546870513,0.4623347873025122,0.2518213114695355,0.32828223153879765
16,NEOFFI_Conscientiousness,0.3259725979234031,0.009391433504923321,-0.12633707071412167,0.045191210214973535,0.36067029000891687,0.011570773584736406,0.5150479758817621,0.030801878621121496,0.24826159752624874,0.009550223363327968,0.41096361504539103,0.024982282140046583,0.2950282632728234,-0.07856767332460213,0.37214802422146914,0.48474224772406216,0.26031528133941506,0.3686918406248709
9,TeiQueSF_emotionality,0.39648254828021834,0.01711150696512244,-0.09614073486073349,0.03225913123284149,0.42224808767788,0.011902998356633865,0.6146313109665847,0.02195728871632476,0.3362000556754636,0.018592978192061984,0.5959159816347785,0.05283198329555602,0.3778486237665547,-0.06633021077640011,0.4318529026932433,0.7180846746551222,0.3491340780290553,0.7270771841107082
8,TeiQueSF_self_control,0.42839058354773324,0.016696429191522484,-0.04772675343670681,0.009402374862686802,0.42471776010260026,0.005070774755004299,0.6351582215169457,0.005492674491894654,0.32013633111256684,0.0038757374350721404,0.5869306621804994,0.03964749709110557,0.41406480205882934,-0.11753078722895127,0.43786694467581994,0.676352239664428,0.3285425417272804,0.7235907759948191
10,TeiQueSF_sociability,0.3626970757199375,0.08468410489993644,-0.12577401073837638,0.12015964270638281,0.47330610196305134,0.01717202530722755,0.697746419242435,0.007992388677350446,0.4191333749710082,0.03996973779768016,0.7416341295809462,0.08231687568345902,0.3381047631385877,0.06722686188024463,0.4962471529272229,0.4945448881766197,0.43751845109728993,0.4415834846743773
77,STAXI_State_Anger,0.00481785181958901,0.02035798351579135,-0.09506104714478118,0.040618738096603366,0.6007401769283058,0.014667370211895658,0.7128654559659964,0.04494407763516196,2.5716167306773166,0.33873519736501895,2.820285738409518,0.789894950535022,-0.008683504098961903,-0.13171923218477666,0.6063874466383183,0.9892851696198495,2.6150501167246754,5.826010248525183
36,NYC-Q_lemon_9,0.024772438175261164,0.03841397128727995,-0.12620331629940704,0.01120909357823291,0.6345071686102292,0.03293539599150195,0.7547735589418121,0.05661471387391944,2.2654531178228154,0.11943010023091932,2.6127436084969613,0.0981934521597216,0.0007314314240572939,-0.33116428423865063,0.6459246177489313,1.2330101886879585,2.3209096524333495,4.400456292670568
0,ERQ_reappraisal,0.2878697496015797,0.02835090458193096,-0.10779840081444496,0.05880804761378792,0.5664407013826925,0.016607735916904086,0.78557626555759,0.020489819988912052,0.677285725706219,0.045817679275329516,1.037402412886865,0.040713797023894785,0.26721243017726415,-0.02667389211632809,0.5838112202376788,0.8956526558110198,0.6987309008217994,1.2167236870310003
110,COPE_BehavioralDisengagement,0.2753693099978702,0.04576604892754017,-0.038659841546233475,0.056381527411839966,0.6057688412243567,0.04042629904067337,0.7934991240623326,0.06176546406378229,0.6597890139594057,0.09081508354003304,0.9355958145368123,0.1473213177426047,0.25905633516997895,-0.0591073187089759,0.6177448656604553,0.7449580727319122,0.672500150754664,1.3132652222781913
11,TeiQueSF_well_being,0.2453792123002886,0.022688336610788198,-0.15123716927862482,0.11942330451893633,0.5585281002665496,0.013569783053795338,0.7958741309715057,0.025374614737818754,0.6877428636405859,0.059416552984146456,1.0235434887965449,0.11846449314948622,0.2129249126964119,-0.29411273378634006,0.5827757446083606,0.6745315872936073,0.7203643071144811,0.7216930827404443
113,COPE_Alkoholâ€Ž_Drogen,0.018960008512423077,0.057900534972195015,-0.22750692522463703,0.04891295751410705,0.648605431115667,0.03184287333876703,0.8223482872176372,0.06943869456198208,1.4178438754385168,0.17328222222058698,1.7668539794478455,0.5290291799214568,0.005684700872338411,-0.1389120184724042,0.659160688536889,0.7178796420752991,1.4515957407711848,1.340336957965551
5,FSoZu_Zuf,0.29556774129083735,0.027110079554031816,-0.19951086818615602,0.035003229873282686,0.5868244241049906,0.021908447786163725,0.8382733251800945,0.04009641312868112,0.6217776540291821,0.013513803127315264,1.044143905518666,0.114301018018113,0.25525787780204445,-0.06523795418997991,0.6109583777169562,0.8706360011400321,0.6620848049701171,0.9990545310006618
120,COPE_Denial,0.2748555001110918,0.063993283508384,-0.019480695244650792,0.0607937213976597,0.6474724094539867,0.04722934406880465,0.8925487017988355,0.07882138695435355,0.98974601365208,0.1688294243659071,1.3846602820206888,0.28611988281496253,0.25759753765655236,-0.5792720488691936,0.6597637096616479,1.3730064191669349,1.008417808811021,3.141931111031019
1,ERQ_suppression,0.3041600621308352,0.005323536605474077,-0.04237314724926744,0.03922770237445294,0.7131360226206841,0.02066844603125981,0.9478710789441029,0.043895011242026626,0.9259985726906304,0.06196523176722981,1.3746101995724354,0.1506695640525595,0.28283075329655216,0.05226074296925809,0.7308055882932505,0.8877584398886535,0.9559088653694695,1.1678502974949823
119,COPE_Religion,-0.0032244490134843242,0.07486704649558516,-0.216756199365537,0.07271667619557814,0.7749343225738897,0.061159090223237615,0.9519189376996731,0.1171798705514313,2.0237669467418287,0.29091009250633754,2.468120146130728,0.6788368547112555,-0.0636835439039507,-0.15475410822653646,0.7962037452947301,0.5404939567193819,2.147123208856742,0.7015074266938326
37,NYC-Q_lemon_10,0.04806090373749986,0.05200753441755418,-0.1322140124913517,0.07642781532554889,0.8545316229930995,0.12475911013453264,1.030253755855324,0.25159249816328333,3.493865874508021,0.8038496631541913,4.1673061572914465,1.7584775415283749,0.0046082037452910285,-0.21402252394072008,0.8707189274352143,1.1127647494376391,3.6355360132439,4.420287138450827
116,COPE_Planning,0.2735770762891245,0.033669934454928725,-0.14938940165567413,0.022740839654771708,0.7180808841349383,0.012707899823014492,1.0345683564759487,0.022603783801069005,1.0495510784194026,0.06581186695177924,1.6483105486407201,0.09369350538193572,0.2454558720823794,0.011392513167155727,0.7504736249507018,0.8998386698694963,1.0918814106158339,1.189448850035572
115,COPE_Venting,0.3428352110746693,0.0307065273266786,-0.09903232917037201,0.08191357600563667,0.7652743532275723,0.025436392571249574,1.0771290319641607,0.02575562583510995,1.088537577005119,0.09851929053108915,1.7712091755973443,0.14842207708631644,0.31452645273818103,-0.3098836231414577,0.786499251173753,1.176500066208549,1.1407377215054406,2.1719437853798524
108,COPE_SelfDistraction,0.2489422309856014,0.0290594047333221,-0.06856654871762495,0.061075304636812114,0.8848831209961571,0.03526554564854039,1.1348909304516548,0.0904658849758788,1.4503589080248018,0.10834098817615893,2.031425168210265,0.2700167174524631,0.2253726616479167,-0.020611075986717298,0.896541074305776,1.0945562108555342,1.5040553497621896,1.6721648924121626
121,COPE_activeCoping,0.20377129546210734,0.047854831703232695,-0.1502018132228186,0.038592621395699765,0.8518883525472297,0.02068064549874662,1.1349334028201767,0.061993602761934156,1.3637250274406225,0.025175252332746246,1.9616879146080937,0.21169749081458955,0.15655229243028912,-0.07337149703995238,0.8837487356291488,1.0017222869922493,1.4526043852589463,1.4749154693053914
117,COPE_Acceptance,0.19457683604952494,0.0010852833279617242,-0.07828720217512657,0.05015391734437878,0.9635022667534682,0.0334901019943578,1.2005248748783435,0.038160395734086985,1.785819408372527,0.06142949740122041,2.3690312932239252,0.19665017378166844,0.1658542413247588,-0.12272502520925288,0.9811596035484612,1.390215191843305,1.8554396042327481,2.716389278612788
111,COPE_positiveReframing,0.2612320186739772,0.012654434115101502,-0.05911967260754003,0.02268499359295647,0.922542278845425,0.04180479078902852,1.2210428978168493,0.07936814249678144,1.508505605610588,0.11643213236168833,2.1432966795989548,0.23082136708200598,0.25189748150705216,-0.042688986706652665,0.9450142459432417,1.4683170230255254,1.5286670792084691,3.002615227991545
118,COPE_SelfBlame,0.20822209813008485,0.03391973092015307,-0.09921843261965295,0.05867939050017864,0.9372413062865345,0.07929765006847475,1.233943260885721,0.1369827410174141,1.7282854473216338,0.2413438402608533,2.346258044417197,0.5443681106454845,0.19961745016105192,0.02065974344905963,0.9598255040859385,1.2160666661881214,1.7526786022134855,2.296073211611212
109,COPE_UseOfEmotionalSupport,0.20117575030043033,0.017130945900253762,-0.0769120403484876,0.049839239875751465,1.0064134386758825,0.026348266739096723,1.2363282407659826,0.031362931370563195,1.8340080544904334,0.10432227874804624,2.4236617631537247,0.12359221780496703,0.17852506788292144,-0.06177624096387535,1.025911520791031,1.0472545828983928,1.8939560934921535,1.7396097254976843
112,COPE_Humor,0.2342158685185434,0.02984444102011736,-0.010636693298390565,0.05257889407206707,0.992535503927343,0.013934941064679091,1.2447307205244307,0.021261048742073,1.8865249546018834,0.0483849786648691,2.4777181893421476,0.058728982412200655,0.21488277124881716,-0.08542906192364486,1.0114043689820442,1.2818502947150667,1.9375967965798526,2.6161623543800667
38,NYC-Q_lemon_11,-0.08467607594514504,0.03641968170482926,-0.24539866534112406,0.165582302531129,1.1223043079491823,0.13084018202813982,1.3152661361322566,0.2690020661658991,4.486821445938014,0.3721572795800168,5.083850193776434,1.1117326174552875,-0.11405652666163002,-0.17855664671801108,1.1356687382454902,1.3166068834965092,4.63256345628083,5.422445373920213
104,CERQ_BlamingOthers,0.17631460267945434,0.015880122165298306,-0.05990486693897886,0.06198940913147692,1.1485136319507556,0.031918333713809977,1.409848397254718,0.047053510450761754,2.7983610149746725,0.2661889377846971,3.5523668301903943,0.5153251046943802,0.17045388920524707,-0.03283148447997508,1.1656623945185436,1.3588669593993756,2.8220111530438854,2.725697290402774
64,BAS_Fun,0.2752252161739675,0.02648111544126109,-0.24416393739550854,0.10236377726231517,1.0316542930172654,0.03047538602595438,1.4867931311386726,0.049751224368501275,1.9079720492626058,0.04574591205107794,3.142001427123328,0.0861633135531799,0.24604571073781323,-0.0513095588068182,1.0816543703244283,1.5947011458827485,2.0085619855952532,3.6923705872097456
114,COPE_UseOfInstrumentalSupport,0.17904788350280662,0.02597200276994654,-0.1637682313977685,0.1096525645703091,1.2177844613415958,0.017251764704407355,1.5626372915948046,0.007519284554138964,2.462305154727878,0.04876582571778307,3.4202266215598054,0.16524472880420807,0.15232297232625314,-0.16314902823573063,1.2550450745090875,1.299674716001867,2.5565111540974135,2.6673660818449894
65,BAS_Reward,0.20854532193030795,0.022545286358787643,-0.022958039794688172,0.01866783174093806,1.319201659861788,0.05354080015837883,1.5690609616753453,0.08807423372030303,2.984324159987935,0.18407544965149367,3.843962427431196,0.26128683699843347,0.19072713986687861,-0.06594848962968602,1.3354175298153501,1.570641773890973,3.0515000601740474,3.7928423575778174
68,LOT_Pessimism,0.1710175951449245,0.025097135072247725,-0.08870102967995137,0.09064165544548342,1.3470760489303564,0.04921540005432614,1.6352078721344707,0.05715407113561988,3.6311962713120223,0.3405116126643262,4.637087535524654,0.7007027351093453,0.16503641777942557,-0.29116356920670516,1.3768394654907843,2.15368692629515,3.6766394424209716,7.203691024515517
96,CERQ_SelfBlame,0.0904990394193097,0.025881918850648316,-0.08459164639053134,0.046243072642356844,1.4043557379457987,0.02132061704292052,1.6607697767284602,0.0656239074353928,4.303604526812695,0.3819967850957931,5.145447475628422,0.9546416379274427,0.06694008084657432,-0.08334882585712378,1.4256289934472666,2.105658314809515,4.414206178174434,8.158236325685401
63,BAS_Drive,0.21157767881202794,0.016114976850082938,-0.06952907283554759,0.05527157307318238,1.411593236092558,0.06077483539576225,1.720019308684159,0.12165430374035982,3.4319169982005353,0.1863127584879312,4.590098177125584,0.4659826350438529,0.19361186652728657,-0.051006200721742,1.4309767997252465,1.5415029361424577,3.526258167982934,3.8889302417238425
67,LOT_Optimism,0.12258371810580056,0.00308035020734803,-0.0530551774481296,0.02735869581079474,1.5369678189089884,0.06660022023366756,1.8042526689745524,0.12084402193659122,4.667795097316861,0.16265630000307774,5.6014383843823135,0.48538141305056515,0.10685113100858712,-0.10739769009134492,1.5589370990582334,2.0541824360449654,4.753294533506856,5.785261042383844
79,STAXI_TAT,0.15338585035466845,0.027023432847773168,-0.04803803102837708,0.04497826764283868,1.5114357268241427,0.03269224156509504,1.8051102086048323,0.012501306304844367,4.7439161699581325,0.2592946688174838,5.831268001466996,0.4880084586405219,0.13258224663362506,-0.28076965842901136,1.5351376544734,1.8833620053773141,4.869030850627066,4.937825954653333
49,NYC-Q_lemon_22,-0.08347757918169292,0.03482679642321187,-0.2605925629352223,0.06389726826330516,1.5699917041431277,0.040797918106238534,1.8348864703732524,0.14510384993614944,7.154342930987922,0.2509327851533796,8.314346861292874,0.7167758472382274,-0.07963669739223511,-0.0868528353418152,1.5957151872483943,1.3140885487812244,7.136311616774226,4.6703945639671955
103,CERQ_Catastrophizing,0.17661810974765582,0.026726023346716934,-0.11988353915766525,0.12590989453558013,1.4869977702573287,0.11775588767590443,1.874728624992363,0.30798104733507514,4.685125371137484,0.6705518324670687,6.166189151008638,2.382763920649208,0.15525016513429724,-0.11097056205273392,1.5319930104299393,1.130223407883636,4.886990261392081,2.433763256252274
75,FEV_STOER,0.13373874249591614,0.022179941093228326,-0.0015612355650348093,0.008989857570839371,1.687728962994355,0.032219072983303926,1.9141984835064723,0.016069041121027833,5.840186405897053,0.454554778100848,6.7264261387064215,0.6567378511761491,0.12438597323579126,-0.07698270491582293,1.7008519316314255,1.8572626022654157,5.898845038046998,5.89826819983485
41,NYC-Q_lemon_14,0.2565718748840224,0.03929114275207706,0.039942259208659237,0.07590038024667055,1.5902211665710115,0.07771114725044215,1.9243785975461132,0.10199920515837808,4.487686549990728,0.34182536721977097,5.804387657627612,0.6975448508639481,0.239181671884382,-0.11393282187480525,1.6122927245832837,2.328047233689636,4.588169700618348,7.4262188124987025
80,STAXI_TAR,0.14360348033287837,0.0066402086427992625,-0.05785031162171409,0.040104550559593576,1.6882799904520696,0.02991505266990574,1.9740821437957703,0.09253253583005755,5.411320125571213,0.26040893920337493,6.61888444337691,0.5796831618937224,0.12987250453943922,-0.04578873400236172,1.7046706030180405,1.9065327530251175,5.51323879396929,6.027208443303551
29,NYC-Q_lemon_2,0.14783048970769566,0.010790146494077852,-0.019669665686350868,0.031522475127258386,1.7019705999646302,0.06954361361007926,1.986584239353559,0.15312300957325872,5.428810570941433,0.1687576892515345,6.49429256042702,0.6700533679804203,0.14553063352759565,-0.12308303022725342,1.7148189118812975,2.656970314202955,5.449945783796849,9.495626409416488
28,NYC-Q_lemon_1,0.021325621993802835,0.05860904372621995,-0.21474780540223262,0.1035608500374413,1.644428095214652,0.04523857722170668,2.009488775135212,0.08717191761860874,6.236012643204677,0.4894031232404171,7.723074201535344,0.8597022223966347,0.010252587321689655,-0.35593357200202425,1.6968536694418332,2.2676343993358183,6.305816766968551,9.656457890812572
33,NYC-Q_lemon_6,0.02873043932713341,0.026198947820990966,-0.1195305650973224,0.03876578512638977,1.84388842815107,0.07493889620307326,2.079913946511958,0.13178564355182112,7.187131293580639,0.47763379260198296,8.261044739745254,0.660860826422676,0.021942557643385263,-0.10230789606172452,1.8384109008557976,2.0466233717417706,7.232665659879335,7.206673056172115
102,CERQ_PuttingIntoPerspective,0.135853307596795,0.016154016938729428,-0.030705253615132728,0.021551484447964158,1.778210339770806,0.05525649610586128,2.0819158883489877,0.10136301734586184,5.710632727336962,0.25572902749632803,6.795795881542664,0.5848374797628536,0.12326862492452217,-0.04612627140358683,1.7992159270461008,2.5456544075371834,5.798474206161584,9.010029030497689
100,CERQ_RefocusOnPlanning,0.13568260976221616,0.021510383165008914,-0.08750893001738864,0.048121112208594836,1.771355797835098,0.04440351711037924,2.118410394117448,0.08955745003864178,5.3032928823252625,0.23920991466387814,6.664109184865564,0.5364813081659419,0.12559294582557712,0.0021139537949266263,1.8037000459088013,2.105166029168038,5.366594247677999,6.559411367493966
98,CERQ_Rumination,0.17810755111592266,0.03519640815726311,-0.06765337034110745,0.07271860856517985,1.8297493191561698,0.020237809144603786,2.1668707110958922,0.07411335863660218,5.660259147715061,0.14359884950991267,7.253103930156485,0.37523591475731366,0.16982309606967994,0.024320115517495355,1.8455700734167364,2.6214696918963827,5.745024760347187,9.650314386689546
45,NYC-Q_lemon_18,-0.06641717778905469,0.06654309035629115,-0.28179338378817914,0.14836496191477117,1.815514072586451,0.1483519560286099,2.1753416272476698,0.30667612947345424,7.024366429745562,0.7486302986083202,8.49579084067719,2.9208983605073153,-0.06708830103718788,-0.20515818261394259,1.8529915683419302,2.127391582562068,7.110063370717541,9.48438096376653
40,NYC-Q_lemon_13,0.17340580115480156,0.006594881778748292,0.0015256752752405012,0.01666957621676087,1.9378812599801034,0.07129438566721329,2.2053021254290286,0.15377164177079852,5.772788292914775,0.21118085938035933,6.9199143295031,0.6784981312571328,0.17410820314933373,-0.07246004091646419,1.934672844770904,2.2634936953286577,5.787317308051486,7.413441729254246
51,NYC-Q_lemon_24,0.04411678833136797,0.040291911995789936,-0.14320584860486774,0.08520727318460893,1.887346575950226,0.060708597840866386,2.2136626170342253,0.10108771065732078,7.164039889563544,0.5651784164993998,8.469701862048709,1.4148155837280083,0.044640283781082535,-0.14504420902898496,1.9183367078181102,2.107571861299626,7.1901653592945465,7.675786163878718
99,CERQ_positiveRefocusing,0.12565691723325612,0.025227214957130754,-0.06718644151143587,0.07440968461984361,1.8737280934802403,0.14234277290573782,2.2140406695212387,0.26770565647886563,5.856796858427773,0.8109431798659131,6.977413975753284,1.4249684826466134,0.10405544056618377,-0.1718206386288743,1.906022179243468,2.6921089266229004,6.011693745852512,10.192759401091394
44,NYC-Q_lemon_17,-0.022370377825372767,0.048783781697975905,-0.2987965181951977,0.14943091258710975,1.869582368825845,0.12993199787826373,2.2927645124807414,0.25051177248375583,7.2348202049107355,0.34513718080441214,9.218045333161344,2.685614259517521,-0.04340026113892037,-0.1419893733848645,1.9155430657962829,2.096585839341936,7.464453569363286,7.830998793165113
31,NYC-Q_lemon_4,0.09811533256620679,0.04677589734060871,-0.05418384925129449,0.07560484760389447,2.0066933607268638,0.07240030944683942,2.295782961013943,0.1312249863334936,7.365051717377949,0.6501548207151,8.539473337390527,0.4899738570968296,0.10786202594987682,-0.34823998709134085,2.0240566457168425,2.2728937369055315,7.278278321414259,7.1214727523286205
48,NYC-Q_lemon_21,0.027861059125992387,0.014526480046271472,-0.12500989729496773,0.08228770692363933,2.04510332425974,0.02187313284501242,2.3244094571643483,0.04535337481404729,7.333926025355119,0.2848167177887118,8.456479794839224,0.4176537651421215,0.02352397670414419,0.12046074107367943,2.0359232839372368,1.7481220570289417,7.365420293567438,5.136139183289664
